id,review_text,sentiment,sentiment_score,tokens,polarity_words
4905,"For everyday use, this mouse is decent and mostly meets basic expectations.",neutral,0.065,for everyday use this mouse is decent and mostly meets basic expectations,
4906,"As a frequent user, I find this cable intuitive, delightful, affordable, and satisfying, which makes my life easier.",positive,0.731,as a frequent user i find this cable intuitive delightful affordable and satisfying which makes my life easier,intuitive delightful affordable satisfying
4907,"I found the mic to be worst, noisy, worthless, and trash, making everyday use really annoying.",negative,-0.876,i found the mic to be worst noisy worthless and trash making everyday use really annoying,worst noisy worthless trash annoying
4908,"The performance of this bottle is average, so it's acceptable for regular use.",neutral,-0.049,the performance of this bottle is average so it's acceptable for regular use,
4909,"From unboxing to daily use, this tablet feels efficient, fast, and premium; would pick it again.",positive,0.938,from unboxing to daily use this tablet feels efficient fast and premium; would pick it again,efficient fast
4910,"My experience with this speaker has been bad and poor, and I am considering replacing it.",negative,-0.519,my experience with this speaker has been bad and poor and i am considering replacing it,bad poor
4911,The headphones offers a moderate balance between display and reliability.,neutral,0.017,the headphones offers a moderate balance between display and reliability,
4912,This cable turned out genuinely beautiful and high-quality; I'm fully satisfied with it.,positive,0.662,this cable turned out genuinely beautiful and high-quality; i'm fully satisfied with it,beautiful
4913,"If you're thinking of buying this charger, it's bad, unreliable, glitchy, and cheap; I would would not buy again.",negative,-0.371,if you're thinking of buying this charger it's bad unreliable glitchy and cheap; i would would not buy again,bad unreliable glitchy
4914,The fan offers a average balance between build quality and usability.,neutral,-0.082,the fan offers a average balance between build quality and usability,
4915,"If you need a headphones, this one is love, responsive, premium, and outstanding; I a solid pick.",positive,0.643,if you need a headphones this one is love responsive premium and outstanding; i a solid pick,love responsive premium solid
4916,"I found the cable to be mediocre and inconsistent, making everyday use really time-consuming.",negative,-0.918,i found the cable to be mediocre and inconsistent making everyday use really time-consuming,mediocre inconsistent
4917,"The display of this case is average, so it's acceptable for regular use.",neutral,-0.11,the display of this case is average so it's acceptable for regular use,
4918,"For the price, this phone is incredible, durable, and top-notch; I'd gladly buy it again.",positive,0.598,for the price this phone is incredible durable and top-notch; i'd gladly buy it again,incredible durable
4919,"My experience with this tablet has been slow, defective, unhappy, and regret, and I am considering replacing it.",negative,-0.651,my experience with this tablet has been slow defective unhappy and regret and i am considering replacing it,slow defective unhappy regret
4920,The camera offers a average balance between build quality and durability.,neutral,-0.104,the camera offers a average balance between build quality and durability,
4921,"As a frequent user, I find this mouse recommend, brilliant, fantabulous, and robust, which makes my life easier.",positive,0.897,as a frequent user i find this mouse recommend brilliant fantabulous and robust which makes my life easier,recommend brilliant fantabulous robust
4922,"I found the backpack to be terrible, weak, bad, and ugly, making everyday use really frustrating.",negative,-0.862,i found the backpack to be terrible weak bad and ugly making everyday use really frustrating,terrible weak bad ugly frustrating
4923,"The overall quality of this bottle is moderate, so it's acceptable for regular use.",neutral,0.092,the overall quality of this bottle is moderate so it's acceptable for regular use,
4924,"Honestly, I'm fully satisfied with this phone – perfect and great, and a joy to use every day.",positive,0.735,honestly i'm fully satisfied with this phone – perfect and great and a joy to use every day,perfect great
4925,"After a few days of use, this router became terrible, hateful, and defective; I hate now.",negative,-0.565,after a few days of use this router became terrible hateful and defective; i hate now,terrible hateful
4926,The bottle offers a average balance between overall quality and reliability.,neutral,0.059,the bottle offers a average balance between overall quality and reliability,
4927,"In short, the fan's design is superb, stylish, robust, and great, and that alone makes it a solid pick.",positive,0.797,in short the fan's design is superb stylish robust and great and that alone makes it a solid pick,superb stylish robust great solid
4928,"The overall design of this power bank is useless and unhappy, and that ruined it for me.",negative,-0.539,the overall design of this power bank is useless and unhappy and that ruined it for me,useless unhappy
4929,The earbuds offers a decent balance between display and durability.,neutral,0.015,the earbuds offers a decent balance between display and durability,
4930,"Honestly, I'm super impressed with this case – superb, perfect, handy, and fantastic, and a joy to use every day.",positive,0.654,honestly i'm super impressed with this case – superb perfect handy and fantastic and a joy to use every day,superb perfect handy fantastic
4931,"The cable has been pathetic, fragile, and broken in almost every way, which is extremely time-consuming.",negative,-0.862,the cable has been pathetic fragile and broken in almost every way which is extremely time-consuming,pathetic fragile broken
4932,The speaker offers a decent balance between performance and durability.,neutral,0.017,the speaker offers a decent balance between performance and durability,
4933,"For the price, this mouse is fantastic, incredible, smooth, and fantabulous; I'd gladly buy it again.",positive,0.638,for the price this mouse is fantastic incredible smooth and fantabulous; i'd gladly buy it again,fantastic incredible smooth
4934,"From the first day, this adapter felt mediocre, complicated, worst, and glitchy, and it never improved.",negative,-0.926,from the first day this adapter felt mediocre complicated worst and glitchy and it never improved,mediocre complicated worst glitchy
4935,The laptop offers a fine balance between sound and price.,neutral,-0.065,the laptop offers a fine balance between sound and price,
4936,"If you need a headphones, this one is smooth and perfect; I a great deal.",positive,0.712,if you need a headphones this one is smooth and perfect; i a great deal,smooth great
4937,"I found the mouse to be horrible and uncomfortable, making everyday use really stressful.",negative,-0.433,i found the mouse to be horrible and uncomfortable making everyday use really stressful,horrible uncomfortable
4938,The keyboard offers a okay balance between performance and reliability.,neutral,0.085,the keyboard offers a okay balance between performance and reliability,
4939,"For the price, this stand is efficient, superb, and amazing; I'd gladly buy it again.",positive,0.42,for the price this stand is efficient superb and amazing; i'd gladly buy it again,efficient superb
4940,"The stand has been fake, flimsy, and noisy in almost every way, which is extremely annoying.",negative,-0.916,the stand has been fake flimsy and noisy in almost every way which is extremely annoying,fake flimsy noisy annoying
4941,"The performance of this mic is moderate, so it's acceptable for regular use.",neutral,-0.081,the performance of this mic is moderate so it's acceptable for regular use,
4942,"Honestly, I'm fully satisfied with this stand – intuitive, stylish, solid, and user-friendly, and a joy to use every day.",positive,0.431,honestly i'm fully satisfied with this stand – intuitive stylish solid and user-friendly and a joy to use every day,intuitive stylish solid user-friendly
4943,"For the cost, this cable feels slow and unacceptable; it's simply not acceptable.",negative,-0.932,for the cost this cable feels slow and unacceptable; it's simply not acceptable,slow
4944,The printer offers a okay balance between battery life and durability.,neutral,-0.036,the printer offers a okay balance between battery life and durability,
4945,"Honestly, I'm fully satisfied with this laptop – affordable, intuitive, amazing, and great, and a joy to use every day.",positive,0.675,honestly i'm fully satisfied with this laptop – affordable intuitive amazing and great and a joy to use every day,affordable intuitive amazing great
4946,"The overall display of this mouse is laggy, uncomfortable, fragile, and regret, and that ruined it for me.",negative,-0.596,the overall display of this mouse is laggy uncomfortable fragile and regret and that ruined it for me,laggy uncomfortable fragile regret
4947,"The sound of this keyboard is fine, so it's acceptable for regular use.",neutral,0.043,the sound of this keyboard is fine so it's acceptable for regular use,
4948,"From unboxing to daily use, this power bank feels comfortable, stylish, smooth, and superb; plan to stick with this brand.",positive,0.61,from unboxing to daily use this power bank feels comfortable stylish smooth and superb; plan to stick with this brand,comfortable stylish smooth
4949,"For the cost, this charger feels worthless, confusing, and disappointing; it's simply not acceptable.",negative,-0.57,for the cost this charger feels worthless confusing and disappointing; it's simply not acceptable,worthless confusing
4950,"The overall quality of this keyboard is decent, so it's acceptable for regular use.",neutral,0.103,the overall quality of this keyboard is decent so it's acceptable for regular use,
4951,"In short, the keyboard's build quality is efficient, impressive, and superb, and that alone makes it a solid pick.",positive,0.706,in short the keyboard's build quality is efficient impressive and superb and that alone makes it a solid pick,efficient impressive superb solid
4952,"After a few days of use, this fan became worthless, unhappy, overpriced, and draining; I am not happy with now.",negative,-0.417,after a few days of use this fan became worthless unhappy overpriced and draining; i am not happy with now,worthless unhappy overpriced happy
4953,"The sound of this mic is fine, so it's acceptable for regular use.",neutral,-0.041,the sound of this mic is fine so it's acceptable for regular use,
4954,"For the price, this phone is terrific, robust, powerful, and superb; I'd gladly buy it again.",positive,0.484,for the price this phone is terrific robust powerful and superb; i'd gladly buy it again,terrific robust powerful
4955,"For the cost, this earbuds feels weak, draining, and overheating; it's simply not acceptable.",negative,-0.959,for the cost this earbuds feels weak draining and overheating; it's simply not acceptable,weak draining
4956,The tablet offers a moderate balance between sound and reliability.,neutral,-0.05,the tablet offers a moderate balance between sound and reliability,
4957,"As a frequent user, I find this adapter efficient and great, which makes my life more enjoyable.",positive,0.461,as a frequent user i find this adapter efficient and great which makes my life more enjoyable,efficient great
4958,"The mouse has been regret, heating, fake, and draining in almost every way, which is extremely frustrating.",negative,-0.667,the mouse has been regret heating fake and draining in almost every way which is extremely frustrating,regret heating fake draining frustrating
4959,The camera offers a okay balance between battery life and reliability.,neutral,-0.101,the camera offers a okay balance between battery life and reliability,
4960,"From unboxing to daily use, this power bank feels amazing and premium; feel it was a smart choice.",positive,0.642,from unboxing to daily use this power bank feels amazing and premium; feel it was a smart choice,amazing
4961,"If you're thinking of buying this monitor, it's unhappy, mediocre, and heating; I would am considering replacing it.",negative,-0.508,if you're thinking of buying this monitor it's unhappy mediocre and heating; i would am considering replacing it,unhappy mediocre
4962,The power bank offers a decent balance between display and durability.,neutral,-0.022,the power bank offers a decent balance between display and durability,
4963,"Honestly, I'm really glad with this tablet – wonderful, recommend, solid, and outstanding, and a joy to use every day.",positive,0.762,honestly i'm really glad with this tablet – wonderful recommend solid and outstanding and a joy to use every day,wonderful recommend solid outstanding
4964,"After a few days of use, this tablet became flimsy, broken, and noisy; I regret now.",negative,-0.954,after a few days of use this tablet became flimsy broken and noisy; i regret now,flimsy broken regret
4965,The monitor offers a decent balance between build quality and reliability.,neutral,0.081,the monitor offers a decent balance between build quality and reliability,
4966,"Honestly, I'm quite pleased with this keyboard – intuitive and responsive, and a joy to use every day.",positive,0.448,honestly i'm quite pleased with this keyboard – intuitive and responsive and a joy to use every day,pleased intuitive responsive
4967,"In summary, the lamp's build quality is annoying, worthless, and cheap, making it a bad choice.",negative,-0.595,in summary the lamp's build quality is annoying worthless and cheap making it a bad choice,annoying worthless cheap bad
4968,"If you just need a standard fan, this one is average and fairly straightforward.",neutral,-0.087,if you just need a standard fan this one is average and fairly straightforward,
4969,"Using this printer has been impressive and premium so far, and it fits perfectly into my gaming routine.",positive,0.613,using this printer has been impressive and premium so far and it fits perfectly into my gaming routine,impressive premium
4970,"For the cost, this backpack feels poor and unhappy; it's simply not acceptable.",negative,-0.391,for the cost this backpack feels poor and unhappy; it's simply not acceptable,poor
4971,Nothing special here: the watch works in a moderate way for daily use.,neutral,0.087,nothing special here: the watch works in a moderate way for daily use,
4972,"I didn't expect much, but this camera is user-friendly, fantabulous, worthwhile, and wonderful, so I feel it was a smart choice.",positive,0.642,i didn't expect much but this camera is user-friendly fantabulous worthwhile and wonderful so i feel it was a smart choice,user-friendly fantabulous worthwhile wonderful
4973,"The cable has been flimsy and trash in almost every way, which is extremely annoying.",negative,-0.518,the cable has been flimsy and trash in almost every way which is extremely annoying,flimsy trash annoying
4974,"The sound of this router is fine, so it's acceptable for regular use.",neutral,-0.099,the sound of this router is fine so it's acceptable for regular use,
4975,"If you need a mic, this one is responsive, handy, and smooth; I a reliable option.",positive,0.928,if you need a mic this one is responsive handy and smooth; i a reliable option,responsive handy reliable
4976,"The overall design of this mic is overpriced, fragile, ridiculous, and cheap, and that ruined it for me.",negative,-0.672,the overall design of this mic is overpriced fragile ridiculous and cheap and that ruined it for me,overpriced fragile ridiculous cheap
4977,"The performance of this speaker is fine, so it's acceptable for regular use.",neutral,-0.056,the performance of this speaker is fine so it's acceptable for regular use,
4978,"For the price, this lamp is awesome, valuable, and comfortable; I'd gladly buy it again.",positive,0.491,for the price this lamp is awesome valuable and comfortable; i'd gladly buy it again,awesome valuable
4979,"I found the case to be glitchy, unacceptable, and confusing, making everyday use really time-consuming.",negative,-0.354,i found the case to be glitchy unacceptable and confusing making everyday use really time-consuming,glitchy unacceptable confusing
4980,"The design of this earbuds is decent, so it's acceptable for regular use.",neutral,0.016,the design of this earbuds is decent so it's acceptable for regular use,
4981,This keyboard turned out honestly brilliant and incredible; I'm quite pleased with it.,positive,0.632,this keyboard turned out honestly brilliant and incredible; i'm quite pleased with it,brilliant pleased
4982,"From the first day, this watch felt pathetic and weak, and it never improved.",negative,-0.591,from the first day this watch felt pathetic and weak and it never improved,pathetic weak
4983,"The display of this earbuds is fine, so it's acceptable for regular use.",neutral,0.068,the display of this earbuds is fine so it's acceptable for regular use,
4984,"Honestly, I'm quite pleased with this monitor – great, user-friendly, and terrific, and a joy to use every day.",positive,0.847,honestly i'm quite pleased with this monitor – great user-friendly and terrific and a joy to use every day,pleased great user-friendly terrific
4985,"From the first day, this cable felt laggy, unacceptable, and ugly, and it never improved.",negative,-0.837,from the first day this cable felt laggy unacceptable and ugly and it never improved,laggy unacceptable ugly
4986,"The sound of this stand is average, so it's acceptable for regular use.",neutral,0.068,the sound of this stand is average so it's acceptable for regular use,
4987,"If you need a power bank, this one is smooth, flawless, beautiful, and stylish; I a reliable option.",positive,0.589,if you need a power bank this one is smooth flawless beautiful and stylish; i a reliable option,smooth flawless beautiful reliable
4988,"My experience with this mic has been laggy, frustrating, and mediocre, and I am considering replacing it.",negative,-0.631,my experience with this mic has been laggy frustrating and mediocre and i am considering replacing it,laggy frustrating mediocre
4989,The fan offers a moderate balance between performance and features.,neutral,-0.089,the fan offers a moderate balance between performance and features,
4990,"This power bank turned out really wonderful, responsive, and stable; I'm very happy with it.",positive,0.807,this power bank turned out really wonderful responsive and stable; i'm very happy with it,wonderful responsive happy
4991,"From the first day, this watch felt complicated and regret, and it never improved.",negative,-0.596,from the first day this watch felt complicated and regret and it never improved,complicated regret
4992,"The overall quality of this laptop is moderate, so it's acceptable for regular use.",neutral,0.038,the overall quality of this laptop is moderate so it's acceptable for regular use,
4993,"I didn't expect much, but this stand is high-quality and robust, so I think it offers great value.",positive,0.385,i didn't expect much but this stand is high-quality and robust so i think it offers great value,high-quality robust great
4994,"After a few days of use, this phone became crashed and disappointing; I am not happy with now.",negative,-0.568,after a few days of use this phone became crashed and disappointing; i am not happy with now,crashed happy
4995,The cable offers a okay balance between design and price.,neutral,-0.063,the cable offers a okay balance between design and price,
4996,This stand turned out genuinely intuitive and cool; I'm really glad with it.,positive,0.69,this stand turned out genuinely intuitive and cool; i'm really glad with it,intuitive
4997,"I found the speaker to be disappointing, overpriced, and mediocre, making everyday use really stressful.",negative,-0.594,i found the speaker to be disappointing overpriced and mediocre making everyday use really stressful,disappointing overpriced mediocre
4998,"The performance of this lamp is average, so it's acceptable for regular use.",neutral,0.04,the performance of this lamp is average so it's acceptable for regular use,
4999,"From unboxing to daily use, this stand feels user-friendly and premium; think it offers great value.",positive,0.752,from unboxing to daily use this stand feels user-friendly and premium; think it offers great value,user-friendly great
5000,"My experience with this phone has been terrible, noisy, garbage, and laggy, and I can't recommend it.",negative,-0.551,my experience with this phone has been terrible noisy garbage and laggy and i can't recommend it,terrible noisy garbage laggy recommend
5001,"The performance of this camera is average, so it's acceptable for regular use.",neutral,-0.03,the performance of this camera is average so it's acceptable for regular use,
5002,"If you need a headphones, this one is superb and love; I a solid pick.",positive,0.432,if you need a headphones this one is superb and love; i a solid pick,superb solid
5003,"After a few days of use, this cable became crashed, poor, inconsistent, and unreliable; I am disappointed about now.",negative,-0.368,after a few days of use this cable became crashed poor inconsistent and unreliable; i am disappointed about now,crashed poor inconsistent
5004,The fan offers a average balance between overall quality and reliability.,neutral,-0.052,the fan offers a average balance between overall quality and reliability,
5005,"As a frequent user, I find this bottle happy, user-friendly, flawless, and great, which makes my life less stressful.",positive,0.88,as a frequent user i find this bottle happy user-friendly flawless and great which makes my life less stressful,happy user-friendly flawless great
5006,"I found the headphones to be disappointing, dissatisfied, complicated, and laggy, making everyday use really time-consuming.",negative,-0.655,i found the headphones to be disappointing dissatisfied complicated and laggy making everyday use really time-consuming,disappointing dissatisfied complicated laggy
5007,The mic offers a average balance between build quality and comfort.,neutral,0.074,the mic offers a average balance between build quality and comfort,
5008,"This power bank turned out consistently great, handy, and recommend; I'm very happy with it.",positive,0.413,this power bank turned out consistently great handy and recommend; i'm very happy with it,great handy happy
5009,"The overall design of this mouse is disappointing, fragile, and garbage, and that ruined it for me.",negative,-0.654,the overall design of this mouse is disappointing fragile and garbage and that ruined it for me,disappointing fragile garbage
5010,"The battery life of this headphones is average, so it's acceptable for regular use.",neutral,-0.05,the battery life of this headphones is average so it's acceptable for regular use,
5011,"For the price, this router is user-friendly, powerful, and affordable; I'd gladly buy it again.",positive,0.855,for the price this router is user-friendly powerful and affordable; i'd gladly buy it again,user-friendly powerful
5012,"After a few days of use, this router became uncomfortable, overheating, and cheap; I strongly regret now.",negative,-0.666,after a few days of use this router became uncomfortable overheating and cheap; i strongly regret now,uncomfortable overheating regret
5013,"The display of this watch is moderate, so it's acceptable for regular use.",neutral,0.083,the display of this watch is moderate so it's acceptable for regular use,
5014,"For the price, this bottle is delightful and stylish; I'd gladly buy it again.",positive,0.725,for the price this bottle is delightful and stylish; i'd gladly buy it again,delightful
5015,"In summary, the lamp's performance is disgusting and flimsy, making it a disappointing choice.",negative,-0.921,in summary the lamp's performance is disgusting and flimsy making it a disappointing choice,disgusting flimsy disappointing
5016,"The design of this power bank is moderate, so it's acceptable for regular use.",neutral,-0.119,the design of this power bank is moderate so it's acceptable for regular use,
5017,"I didn't expect much, but this stand is incredible, delightful, and durable, so I think it offers great value.",positive,0.435,i didn't expect much but this stand is incredible delightful and durable so i think it offers great value,incredible delightful durable great
5018,"My experience with this cable has been mediocre and regret, and I can't recommend it.",negative,-0.851,my experience with this cable has been mediocre and regret and i can't recommend it,mediocre regret recommend
5019,The stand offers a average balance between performance and usability.,neutral,-0.057,the stand offers a average balance between performance and usability,
5020,"Using this bottle has been convenient, reliable, stellar, and terrific so far, and it fits perfectly into my study routine.",positive,0.909,using this bottle has been convenient reliable stellar and terrific so far and it fits perfectly into my study routine,convenient reliable stellar terrific
5021,"For the cost, this bottle feels slow, annoying, and unreliable; it's simply not acceptable.",negative,-0.451,for the cost this bottle feels slow annoying and unreliable; it's simply not acceptable,slow annoying
5022,The printer offers a okay balance between sound and price.,neutral,0.03,the printer offers a okay balance between sound and price,
5023,"From unboxing to daily use, this watch feels perfect and outstanding; plan to stick with this brand.",positive,0.357,from unboxing to daily use this watch feels perfect and outstanding; plan to stick with this brand,perfect
5024,"In summary, the router's overall quality is frustrating and complicated, making it a bad choice.",negative,-0.781,in summary the router's overall quality is frustrating and complicated making it a bad choice,frustrating complicated bad
5025,The power bank offers a fine balance between sound and reliability.,neutral,-0.004,the power bank offers a fine balance between sound and reliability,
5026,"As a frequent user, I find this mic handy, valuable, terrific, and premium, which makes my life less stressful.",positive,0.797,as a frequent user i find this mic handy valuable terrific and premium which makes my life less stressful,handy valuable terrific premium
5027,"After a few days of use, this laptop became glitchy, disappointing, uncomfortable, and cheap; I strongly regret now.",negative,-0.429,after a few days of use this laptop became glitchy disappointing uncomfortable and cheap; i strongly regret now,glitchy disappointing uncomfortable regret
5028,"The battery life of this charger is decent, so it's acceptable for regular use.",neutral,0.001,the battery life of this charger is decent so it's acceptable for regular use,
5029,"As a frequent user, I find this monitor fantabulous, beautiful, and brilliant, which makes my life more convenient.",positive,0.981,as a frequent user i find this monitor fantabulous beautiful and brilliant which makes my life more convenient,fantabulous beautiful brilliant convenient
5030,"If you're thinking of buying this fan, it's regret and unreliable; I would am considering replacing it.",negative,-0.759,if you're thinking of buying this fan it's regret and unreliable; i would am considering replacing it,regret
5031,"The sound of this tablet is average, so it's acceptable for regular use.",neutral,-0.034,the sound of this tablet is average so it's acceptable for regular use,
5032,"Honestly, I'm quite pleased with this earbuds – recommend, beautiful, fantastic, and love, and a joy to use every day.",positive,0.521,honestly i'm quite pleased with this earbuds – recommend beautiful fantastic and love and a joy to use every day,pleased recommend beautiful fantastic love
5033,"My experience with this laptop has been worthless and bad, and I am considering replacing it.",negative,-0.721,my experience with this laptop has been worthless and bad and i am considering replacing it,worthless bad
5034,"The display of this mouse is fine, so it's acceptable for regular use.",neutral,-0.033,the display of this mouse is fine so it's acceptable for regular use,
5035,"This printer turned out consistently incredible, beautiful, delightful, and affordable; I'm fully satisfied with it.",positive,0.373,this printer turned out consistently incredible beautiful delightful and affordable; i'm fully satisfied with it,incredible beautiful delightful
5036,"The overall battery life of this lamp is terrible, draining, noisy, and mediocre, and that ruined it for me.",negative,-0.59,the overall battery life of this lamp is terrible draining noisy and mediocre and that ruined it for me,terrible draining noisy mediocre
5037,The case offers a fine balance between display and reliability.,neutral,-0.067,the case offers a fine balance between display and reliability,
5038,"If you need a laptop, this one is premium and solid; I a solid pick.",positive,0.674,if you need a laptop this one is premium and solid; i a solid pick,premium solid
5039,"If you're thinking of buying this case, it's worthless, trash, unreliable, and cheap; I would can't recommend it.",negative,-0.761,if you're thinking of buying this case it's worthless trash unreliable and cheap; i would can't recommend it,worthless trash unreliable recommend
5040,"The build quality of this camera is fine, so it's acceptable for regular use.",neutral,-0.083,the build quality of this camera is fine so it's acceptable for regular use,
5041,"Honestly, I'm super impressed with this earbuds – terrific and affordable, and a joy to use every day.",positive,0.816,honestly i'm super impressed with this earbuds – terrific and affordable and a joy to use every day,terrific affordable
5042,"In summary, the mouse's design is disappointing and fragile, making it a bad choice.",negative,-0.382,in summary the mouse's design is disappointing and fragile making it a bad choice,disappointing fragile bad
5043,The stand offers a decent balance between performance and durability.,neutral,-0.11,the stand offers a decent balance between performance and durability,
5044,"Using this camera has been efficient, user-friendly, superb, and incredible so far, and it fits perfectly into my work routine.",positive,0.964,using this camera has been efficient user-friendly superb and incredible so far and it fits perfectly into my work routine,efficient user-friendly superb incredible
5045,"I found the phone to be buggy, overheating, and disappointing, making everyday use really stressful.",negative,-0.574,i found the phone to be buggy overheating and disappointing making everyday use really stressful,buggy overheating disappointing
5046,"The performance of this cable is fine, so it's acceptable for regular use.",neutral,-0.06,the performance of this cable is fine so it's acceptable for regular use,
5047,"If you need a mouse, this one is intuitive, efficient, and worthwhile; I a solid pick.",positive,0.778,if you need a mouse this one is intuitive efficient and worthwhile; i a solid pick,intuitive efficient solid
5048,"The phone has been uncomfortable, unacceptable, and complicated in almost every way, which is extremely frustrating.",negative,-0.414,the phone has been uncomfortable unacceptable and complicated in almost every way which is extremely frustrating,uncomfortable unacceptable complicated frustrating
5049,The laptop offers a average balance between display and reliability.,neutral,-0.088,the laptop offers a average balance between display and reliability,
5050,"For the price, this mic is high-quality, handy, and premium; I'd gladly buy it again.",positive,0.908,for the price this mic is high-quality handy and premium; i'd gladly buy it again,high-quality handy
5051,"My experience with this backpack has been heating, laggy, and annoying, and I am considering replacing it.",negative,-0.846,my experience with this backpack has been heating laggy and annoying and i am considering replacing it,heating laggy annoying
5052,The charger offers a moderate balance between display and features.,neutral,-0.103,the charger offers a moderate balance between display and features,
5053,"Honestly, I'm fully satisfied with this charger – valuable, premium, cool, and durable, and a joy to use every day.",positive,0.409,honestly i'm fully satisfied with this charger – valuable premium cool and durable and a joy to use every day,valuable premium cool durable
5054,"If you're thinking of buying this mic, it's weak, horrible, draining, and unreliable; I would wish I had returned it.",negative,-0.414,if you're thinking of buying this mic it's weak horrible draining and unreliable; i would wish i had returned it,weak horrible draining
5055,The charger offers a moderate balance between performance and price.,neutral,-0.101,the charger offers a moderate balance between performance and price,
5056,The overall display and feel of this monitor are awesome and delightful; totally a great deal.,positive,0.758,the overall display and feel of this monitor are awesome and delightful; totally a great deal,awesome great
5057,"In summary, the backpack's battery life is buggy, defective, and unacceptable, making it a unwise choice.",negative,-0.474,in summary the backpack's battery life is buggy defective and unacceptable making it a unwise choice,buggy defective unacceptable
5058,"Overall, the power bank feels average; nothing too impressive or too bad.",neutral,-0.02,overall the power bank feels average; nothing too impressive or too bad,impressive bad
5059,"As a frequent user, I find this backpack impressive, reliable, and satisfying, which makes my life more enjoyable.",positive,0.529,as a frequent user i find this backpack impressive reliable and satisfying which makes my life more enjoyable,impressive reliable satisfying
5060,"If you're thinking of buying this headphones, it's disappointing, defective, ridiculous, and heating; I would suggest avoiding it.",negative,-0.553,if you're thinking of buying this headphones it's disappointing defective ridiculous and heating; i would suggest avoiding it,disappointing defective ridiculous
5061,"In short, this keyboard is okay; a typical, ordinary option.",neutral,-0.088,in short this keyboard is okay; a typical ordinary option,
5062,"Using this tablet has been outstanding, incredible, and pleased so far, and it fits perfectly into my study routine.",positive,0.635,using this tablet has been outstanding incredible and pleased so far and it fits perfectly into my study routine,outstanding incredible pleased
5063,"My experience with this monitor has been overpriced, unhappy, fragile, and mediocre, and I suggest avoiding it.",negative,-0.995,my experience with this monitor has been overpriced unhappy fragile and mediocre and i suggest avoiding it,overpriced unhappy fragile mediocre
5064,"The sound of this bottle is decent, so it's acceptable for regular use.",neutral,-0.087,the sound of this bottle is decent so it's acceptable for regular use,
5065,"I didn't expect much, but this power bank is user-friendly and affordable, so I think it offers great value.",positive,0.651,i didn't expect much but this power bank is user-friendly and affordable so i think it offers great value,user-friendly affordable great
5066,"From the first day, this mouse felt unhappy and complicated, and it never improved.",negative,-0.95,from the first day this mouse felt unhappy and complicated and it never improved,unhappy complicated
5067,The printer offers a decent balance between sound and reliability.,neutral,-0.052,the printer offers a decent balance between sound and reliability,
5068,"From unboxing to daily use, this keyboard feels flawless and wonderful; think it offers great value.",positive,0.842,from unboxing to daily use this keyboard feels flawless and wonderful; think it offers great value,flawless great
5069,"I found the lamp to be ridiculous, useless, awful, and broken, making everyday use really stressful.",negative,-0.355,i found the lamp to be ridiculous useless awful and broken making everyday use really stressful,ridiculous useless awful broken
5070,The cable offers a average balance between display and usability.,neutral,0.092,the cable offers a average balance between display and usability,
5071,"From unboxing to daily use, this earbuds feels love, delightful, and awesome; recommend it to friends.",positive,0.398,from unboxing to daily use this earbuds feels love delightful and awesome; recommend it to friends,love delightful recommend
5072,"In summary, the printer's battery life is worst, cheap, overheating, and terrible, making it a disappointing choice.",negative,-0.835,in summary the printer's battery life is worst cheap overheating and terrible making it a disappointing choice,worst cheap overheating terrible disappointing
5073,The lamp offers a okay balance between sound and features.,neutral,-0.078,the lamp offers a okay balance between sound and features,
5074,"Using this keyboard has been love, incredible, and beautiful so far, and it fits perfectly into my daily routine.",positive,0.91,using this keyboard has been love incredible and beautiful so far and it fits perfectly into my daily routine,love incredible beautiful
5075,"This charger was a glitchy, pathetic, overheating, and fake purchase; I honestly am disappointed about buying it.",negative,-0.747,this charger was a glitchy pathetic overheating and fake purchase; i honestly am disappointed about buying it,glitchy pathetic overheating fake
5076,"The build quality of this bottle is okay, so it's acceptable for regular use.",neutral,0.064,the build quality of this bottle is okay so it's acceptable for regular use,
5077,"In short, the adapter's display is stable, robust, handy, and satisfying, and that alone makes it a solid pick.",positive,0.779,in short the adapter's display is stable robust handy and satisfying and that alone makes it a solid pick,stable robust handy satisfying solid
5078,"The printer has been complicated, worst, and disappointing in almost every way, which is extremely stressful.",negative,-0.613,the printer has been complicated worst and disappointing in almost every way which is extremely stressful,complicated worst disappointing
5079,"For everyday use, this monitor is moderate and mostly meets basic expectations.",neutral,-0.06,for everyday use this monitor is moderate and mostly meets basic expectations,
5080,"I didn't expect much, but this speaker is user-friendly and fast, so I plan to stick with this brand.",positive,0.483,i didn't expect much but this speaker is user-friendly and fast so i plan to stick with this brand,user-friendly fast
5081,"For the cost, this router feels pathetic and flimsy; it's simply not acceptable.",negative,-0.827,for the cost this router feels pathetic and flimsy; it's simply not acceptable,pathetic
5082,The monitor offers a decent balance between display and features.,neutral,0.097,the monitor offers a decent balance between display and features,
5083,"From unboxing to daily use, this stand feels outstanding and user-friendly; think it offers great value.",positive,0.625,from unboxing to daily use this stand feels outstanding and user-friendly; think it offers great value,outstanding great
5084,"I found the bottle to be noisy, misleading, uncomfortable, and trash, making everyday use really annoying.",negative,-0.474,i found the bottle to be noisy misleading uncomfortable and trash making everyday use really annoying,noisy misleading uncomfortable trash annoying
5085,The stand offers a decent balance between display and reliability.,neutral,-0.037,the stand offers a decent balance between display and reliability,
